event_type,current_hour,is_sensitive_event,is_new_device,vpn_detected,proxy_detected,tor_detected,failed_attempts_last_15m,hourly_pattern_deviation,events_last_10m,new_devices_last_24h,distinct_ips_last_1h,distinct_network_types_last_1h,vpn_switch_count_last_1h,country_changed_flag,distance_from_previous_km,impossible_travel_flag,geo_anomaly_flag,event_sequence_anomaly_flag,sensitive_action_burst_flag,device_churn_flag,network_switching_flag,rules_score,active_signal_count,recent_sensitive_event_count,device_subscore,network_subscore,behavior_subscore,geo_subscore,sequence_subscore,label_suspicious
login,9,1,0,0,0,0,0,0.05,1,0,1,1,0,0,2.0,0,0,0,0,0,0,5,1,1,0,0,5,0,0,0
login,10,1,0,0,0,0,1,0.1,2,0,1,1,0,0,2.7,0,0,0,0,0,0,6,1,2,0,0,6,0,0,0
login,11,1,0,0,0,0,0,0.15,1,0,1,1,0,0,3.4,0,0,0,0,0,0,7,1,1,0,0,7,0,0,0
login,12,1,0,0,0,0,1,0.05,2,0,1,1,0,0,4.1,0,0,0,0,0,0,8,1,2,0,0,8,0,0,0
login,13,1,0,0,0,0,0,0.1,1,0,1,1,0,0,4.8,0,0,0,0,0,0,9,1,1,0,0,9,0,0,0
login,14,1,0,0,0,0,1,0.15,2,0,1,1,0,0,5.5,0,0,0,0,0,0,10,1,2,0,0,5,0,0,0
login,15,1,0,0,0,0,0,0.05,1,0,1,1,0,0,6.2,0,0,0,0,0,0,11,1,1,0,0,6,0,0,0
login,16,1,0,0,0,0,1,0.1,2,0,1,1,0,0,6.9,0,0,0,0,0,0,12,1,2,0,0,7,0,0,0
login,9,1,0,0,0,0,0,0.15,1,0,1,1,0,0,7.6,0,0,0,0,0,0,5,1,1,0,0,8,0,0,0
login,10,1,0,0,0,0,1,0.05,2,0,1,1,0,0,8.3,0,0,0,0,0,0,6,1,2,0,0,9,0,0,0
login,11,1,0,0,0,0,0,0.1,1,0,1,1,0,0,9.0,0,0,0,0,0,0,7,1,1,0,0,5,0,0,0
login,12,1,0,0,0,0,1,0.15,2,0,1,1,0,0,9.7,0,0,0,0,0,0,8,1,2,0,0,6,0,0,0
login,13,1,0,0,0,0,0,0.05,1,0,1,1,0,0,10.4,0,0,0,0,0,0,9,1,1,0,0,7,0,0,0
login,14,1,0,0,0,0,1,0.1,2,0,1,1,0,0,11.1,0,0,0,0,0,0,10,1,2,0,0,8,0,0,0
login,15,1,0,0,0,0,0,0.15,1,0,1,1,0,0,11.8,0,0,0,0,0,0,11,1,1,0,0,9,0,0,0
login,1,1,1,1,0,0,2,0.65,4,2,3,2,1,0,120.0,0,1,1,0,0,1,45,3,2,20,15,20,18,20,1
password_reset,2,1,1,0,0,0,3,0.73,5,3,4,2,1,1,155.0,0,0,0,1,1,0,46,4,3,38,16,30,0,22,1
login,3,1,1,1,0,0,4,0.81,6,2,3,2,1,0,190.0,0,0,1,1,0,0,47,5,4,20,15,40,0,20,1
password_reset,4,1,1,0,0,0,2,0.65,4,3,4,2,1,1,225.0,0,1,0,0,1,1,48,3,2,38,16,20,18,22,1
login,1,1,1,1,0,0,3,0.73,5,2,3,2,1,0,260.0,0,0,1,1,0,0,49,4,3,20,15,30,0,20,1
password_reset,2,1,1,0,0,0,4,0.81,6,3,4,2,1,1,295.0,0,0,0,1,1,0,50,5,4,38,16,40,0,22,1
login,3,1,1,1,0,0,2,0.65,4,2,3,2,1,0,330.0,0,1,1,0,0,1,51,3,2,20,15,20,18,20,1
password_reset,4,1,1,0,0,0,3,0.73,5,3,4,2,1,1,365.0,0,0,0,1,1,0,52,4,3,38,16,30,0,22,1
login,1,1,1,1,0,0,4,0.81,6,2,3,2,1,0,400.0,0,0,1,1,0,0,53,5,4,20,15,40,0,20,1
password_reset,2,1,1,0,0,0,2,0.65,4,3,4,2,1,1,435.0,0,1,0,0,1,1,54,3,2,38,16,20,18,22,1
device_enrollment,0,1,1,1,1,1,4,0.8,6,3,4,3,2,1,900.0,1,0,1,1,1,1,75,6,3,38,31,35,40,42,1
login,1,1,1,1,0,0,5,0.9,7,4,5,3,3,1,1050.0,0,1,1,1,1,1,76,7,4,38,41,35,18,42,1
device_enrollment,2,1,1,1,1,0,6,0.8,8,3,4,3,2,1,1200.0,1,0,1,1,1,1,77,8,3,38,31,35,40,42,1
login,3,1,1,1,0,1,4,0.9,9,4,5,3,3,1,1350.0,0,1,1,1,1,1,78,6,4,38,41,35,18,42,1
device_enrollment,0,1,1,1,1,0,5,0.8,6,3,4,3,2,1,1500.0,1,0,1,1,1,1,79,7,3,38,31,35,40,42,1
login,1,1,1,1,0,0,6,0.9,7,4,5,3,3,1,1650.0,0,1,1,1,1,1,80,8,4,38,41,35,18,42,1
device_enrollment,2,1,1,1,1,1,4,0.8,8,3,4,3,2,1,1800.0,1,0,1,1,1,1,81,6,3,38,31,35,40,42,1
login,3,1,1,1,0,0,5,0.9,9,4,5,3,3,1,1950.0,0,1,1,1,1,1,82,7,4,38,41,35,18,42,1
device_enrollment,0,1,1,1,1,0,6,0.8,6,3,4,3,2,1,2100.0,1,0,1,1,1,1,83,8,3,38,31,35,40,42,1
login,1,1,1,1,0,1,4,0.9,7,4,5,3,3,1,2250.0,0,1,1,1,1,1,84,6,4,38,41,35,18,42,1
